ticker,sector,date,fundamental_score,technical_score,sentiment_score,price_now,price_future,label,vix_level,stock_beta,peg_ratio,rsi_14
AAPL,Technology,2026-02-05,46.8,,52.5,276.8,259.88,0,21.77,1.109,1.7835,
AAPL,Technology,2026-02-06,46.8,,54.5,278.12,259.88,0,20.37,1.109,1.7835,
AAPL,Technology,2026-02-09,46.8,,61.4,274.62,260.81,0,17.36,1.109,1.7835,
AAPL,Technology,2026-02-10,46.8,,55.6,273.68,255.76,0,17.79,1.109,1.7835,
AAPL,Technology,2026-02-11,46.8,,54.4,275.5,250.12,0,17.65,1.109,1.7835,
AAPL,Technology,2026-02-12,46.8,,50.0,261.73,252.82,0,20.82,1.109,1.7835,
AAPL,Technology,2026-02-13,46.8,,46.8,255.78,252.82,0,20.6,1.109,1.7835,
AAPL,Technology,2026-02-17,46.8,,32.0,263.88,248.96,0,20.29,1.109,1.7835,
AAPL,Technology,2026-02-18,46.8,,31.2,264.35,247.99,0,19.62,1.109,1.7835,
AAPL,Technology,2026-02-19,46.8,,27.0,260.58,251.49,0,20.23,1.109,1.7835,
AAPL,Technology,2026-02-20,46.8,,27.6,264.58,251.49,0,19.09,1.109,1.7835,
AAPL,Technology,2026-02-23,46.8,,39.4,266.18,252.62,0,21.01,1.109,1.7835,
AAPL,Technology,2026-02-24,46.8,,37.0,272.14,252.89,0,19.55,1.109,1.7835,
AAPL,Technology,2026-02-25,46.8,,43.5,274.23,248.8,0,17.93,1.109,1.7835,62.2
AAPL,Technology,2026-02-26,46.8,,45.7,272.95,253.79,0,18.63,1.109,1.7835,60.23
AAPL,Technology,2026-02-27,46.8,,50.5,264.18,253.79,0,19.86,1.109,1.7835,48.84
AAPL,Technology,2026-03-02,46.8,,51.9,264.72,255.63,0,21.44,1.109,1.7835,49.47
AAPL,Technology,2026-03-03,46.8,,51.8,263.75,255.92,0,23.57,1.109,1.7835,48.31
AAPL,Technology,2026-03-04,46.8,,56.2,262.52,258.86,0,21.15,1.109,1.7835,46.82
AAPL,Technology,2026-03-05,46.8,34.8,52.0,260.29,258.86,0,23.75,1.109,1.7835,44.15
AAPL,Technology,2026-03-06,46.8,29.2,49.4,257.46,258.86,1,29.49,1.109,1.7835,40.95
AAPL,Technology,2026-03-09,46.8,34.5,51.1,259.88,258.9,0,25.5,1.109,1.7835,44.64
AAPL,Technology,2026-03-10,46.8,38.4,54.8,260.83,260.49,0,24.93,1.109,1.7835,46.06
AAPL,Technology,2026-03-11,46.8,40.6,49.8,260.81,260.48,0,24.23,1.109,1.7835,46.04
AAPL,Technology,2026-03-12,46.8,30.8,50.0,255.76,259.2,1,27.29,1.109,1.7835,39.74
AAPL,Technology,2026-03-13,46.8,23.5,53.6,250.12,259.2,1,27.19,1.109,1.7835,34.13
MSFT,Technology,2026-02-05,66.0,,37.0,393.94,409.41,1,21.77,1.107,1.2478,
MSFT,Technology,2026-02-06,66.0,,45.6,401.14,409.41,1,20.37,1.107,1.2478,
MSFT,Technology,2026-02-09,66.0,,48.8,413.6,404.88,0,17.36,1.107,1.2478,
MSFT,Technology,2026-02-10,66.0,,48.4,413.27,401.86,0,17.79,1.107,1.2478,
MSFT,Technology,2026-02-11,66.0,,49.2,404.37,395.55,0,17.65,1.107,1.2478,
MSFT,Technology,2026-02-12,66.0,,50.3,401.84,399.95,0,20.82,1.107,1.2478,
MSFT,Technology,2026-02-13,66.0,,47.3,401.32,399.95,0,20.6,1.107,1.2478,
MSFT,Technology,2026-02-17,66.0,,38.3,396.86,389.02,0,20.29,1.107,1.2478,
MSFT,Technology,2026-02-18,66.0,,35.5,399.6,381.85,0,19.62,1.107,1.2478,
MSFT,Technology,2026-02-19,66.0,,36.5,398.46,383.0,0,20.23,1.107,1.2478,
